TemplateID,Orientation,Description,Notes,Background,Textbox1 Width,Textbox1 Height,Textbox1 X,Textbox1 Y,text-align,vertical-align,font-size,Photo1 Width,Photo1 Height,Photo1 X,Photo1 Y,Photo2 Width,Photo2 Height,Photo2 X,Photo2 Y,Photo3 Width,Photo3 Height,Photo3 X,Photo3 Y,Photo4 Width,Photo4 Height,Photo4 X,Photo4 Y,Photo5 Width,Photo5 Height,Photo5 X,Photo5 Y,Photo6 Width,Photo6 Height,Photo6 X,Photo6 Y,Photo7 Width,Photo7 Height,Photo7 X,Photo7 Y,Photo8 Width,Photo8 Height,Photo8 X,Photo8 Y,Photo9 Width,Photo9 Height,Photo9 X,Photo9 Y
25,Portrait,2 photos- 1 Text,"1/3, 1/3, 1/3",Default color,1900,800,200,1900,center,middle,50,2100,909,100,100,2100,849,100,1009,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
26,Portrait,3 Photos - 0 Text,Full width top + 2 below,Default color,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2100,1324,100,100,1049,1299,100,1426,1049,1299,1151,1426,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
27,Portrait,3 Photos - 1 Text,Full width top + 2 below + textbox,Default color,1900,500,200,2200,center,middle,50,2100,1049,100,100,1049,999,100,1011,1049,999,1151,1151,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
28,Portrait,3 Photos - 0 Text,"3 full width, 1/3rd height",Default color,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2100,909,100,100,2100,849,100,1011,2100,849,100,1862,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
29,Portrait,4 Photos - 1 Text,4 square photos centered + textbox below,Default color,1900,400,200,2300,center,middle,50,1049,1049,100,100,1049,1049,1151,100,1049,1049,100,1151,1049,1049,1151,1151,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
30,Portrait,4 Photos - 1 Text,4 square photos stacked + textbox to the right,Default color,1250,2377,850,250,Center,middle,75,694,694,100,100,694,644,100,794,694,644,100,1438,694,644,100,2082,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
31,Portrait,4 Photos - 1 Text,4 photos - hero + 3 below + textbox,Default color,1820,250,240,2477,cener,top,45,1820,1400,240,250,600,800,240,1660,600,800,850,1660,600,800,1460,1660,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
32,Portrait,6 Photos - 1 Text,"3 rows, offset rectangles vs squares",Default color,1900,170,200,2560,center,middle,45,1248,850,100,100,850,850,1350,100,850,800,100,952,1248,800,952,952,1248,800,100,1754,850,800,1350,1754,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
33,Portrait,8 Photos - 0 Text,2 columns of 4 squares,Default color,n/a,n/a,n/a,n/a,n/a,n/a,n/a,644,693,505,100,644,643,505,795,644,643,505,1440,644,643,505,2085,644,693,1151,100,644,644,1151,795,644,644,1151,1440,644,644,1151,2085,n/a,n/a,n/a,n/a
34,Portrait,9 Photos - 1 Text,brady bunch!,Default color,1870,450,215,2180,center,top,50,620,620,215,300,620,620,840,300,620,620,1465,300,620,620,215,925,620,620,840,925,620,620,1465,925,620,620,215,1550,620,620,840,1550,620,620,1465,1550
